Company_name	Company_ID	Big3Share	Position	Revenue	Assets	Employees	MarketCap	Exchange	TypeEnt
EXPRESS SCRIPTS HOLDING COMPANY	US452884094	16.85	1	101751800.0	53243300.0	25900.0	47421225.0	NASDAQ National Market	Industrial company
ROSE ROCK MIDSTREAM, LP.	US452934823	0.25	29	844711.0	1245590.0	400.0	884106.0	New York Stock Exchange (NYSE)	Industrial company
LABSTYLE INNOVATIONS CORP.	US452973162	0	105	823.0	5077.0	21.0	28018.0	NASDAQ National Market	Industrial company
BOJANGLES', INC.	US452988924	2.8099999999999996	5	488202.0	558306.0	9520.0	619309.0	NASDAQ National Market	Industrial company
LAREDO PETROLEUM, INC.	US453007926	9.02	5	606640.0	1813287.0	340.0	2602248.0	New York Stock Exchange (NYSE)	Industrial company
RESTORATION HARDWARE HOLDINGS, INC.	US453052669	20.16	1	2109006.0	2088472.0	5400.0	1361940.0	New York Stock Exchange (NYSE)	Industrial company
SANCHEZ ENERGY CORPORATION	US453090102	10.07	1	475779.0	1501304.0	nan	511978.0	New York Stock Exchange (NYSE)	Industrial company
ARES COMMERCIAL REAL ESTATE CORPORATION	US453148087	6.11	5	121750.0	1378982.0	100.0	339748.0	New York Stock Exchange (NYSE)	Financial company
RAVE RESTAURANT GROUP, INC.	US453189287	0.4	15	48199.0	23971.0	504.0	42831.0	NASDAQ National Market	Industrial company
ENOVA INTERNATIONAL, INC.	US453190813	13.89	2	652600.0	840537.0	1132.0	248686.0	New York Stock Exchange (NYSE)	Financial company
POAGE BANKSHARES INC	US453204393	0	130	283.0	74216.0	nan	61122.0	NASDAQ National Market	Bank
WELLESLEY BANCORP INC	US453219901	0	116	3345.0	62098.0	nan	49884.0	NASDAQ National Market	Bank
POST HOLDINGS, INC.	US453355106	16.67	1	4648200.0	9220400.0	8500.0	4932581.0	New York Stock Exchange (NYSE)	Industrial company
NEW RESIDENTIAL INVESTMENT CORP.	US453449660	14.11	1	687101.0	15192722.0	nan	3122885.0	New York Stock Exchange (NYSE)	Financial company
NV5 GLOBAL, INC.	US453458017	3.32	4	154655.0	111769.0	975.0	229953.0	NASDAQ National Market	Industrial company
ATLAS RESOURCE PARTNERS, L.P.	US453591625	0	112	740033.0	1731004.0	nan	37896.0	New York Stock Exchange (NYSE)	Industrial company
INSTALLED BUILDING PRODUCTS, INC.	US453707650	9.57	4	662719.0	373572.0	4510.0	1038757.0	New York Stock Exchange (NYSE)	Industrial company
PBF ENERGY INC.	US453763855	16.28	1	13123929.0	6105124.0	2270.0	2607777.0	New York Stock Exchange (NYSE)	Industrial company
PHILLIPS 66	US453779385	15.94	1	98975000.0	48580000.0	14000.0	42377632.0	New York Stock Exchange (NYSE)	Industrial company
ENGILITY HOLDINGS, INC.	US453854852	7.9	3	2085623.0	2253973.0	9800.0	867657.0	New York Stock Exchange (NYSE)	Industrial company
SELECT INCOME REIT	US454071747	16.81	2	428365.0	4684345.0	nan	2210220.0	New York Stock Exchange (NYSE)	Financial company
AXSOME THERAPEUTICS, INC	US454241907	0	105	0.0	49076.0	11.0	153578.0	NASDAQ National Market	Industrial company
RESONANT INC.	US454320930	1.71	9	0.0	7567.0	nan	37365.0	NASDAQ National Market	Industrial company
ZOSANO PHARMA CORPORATION	US454488360	0	114	313.0	45337.0	39.0	21623.0	NASDAQ National Market	Industrial company
DIAMONDBACK ENERGY, INC.	US454502447	12.02	1	446733.0	2750719.0	141.0	6658302.0	NASDAQ National Market	Industrial company
FS BANCORP, INC.	US454585178	2.91	10	8883.0	86778.0	nan	78060.0	NASDAQ National Market	Bank
EMPIRE STATE REALTY OP, L.P.	US454685158	0	101	657634.0	3300650.0	850.0	711725.0	NYSE ARCA	Industrial company
ALEXANDER & BALDWIN, INC.	US454849780	18.84	1	570500.0	2243500.0	1496.0	1818221.0	New York Stock Exchange (NYSE)	Financial company
RLJ ENTERTAINMENT, INC.	US454950432	0	117	124917.0	151460.0	nan	7945.0	NASDAQ National Market	Industrial company
MPLX LP	US455010536	0.2	41	703000.0	16104000.0	nan	10776589.0	New York Stock Exchange (NYSE)	Industrial company
NATURAL GROCERS BY VITAMIN COTTAGE, INC.	US455034161	4.569999999999999	4	624678.0	233924.0	2830.0	300874.0	New York Stock Exchange (NYSE)	Industrial company
SOUTHCROSS ENERGY PARTNERS, L.P.	US455045230	0	114	698473.0	1318960.0	nan	77104.0	New York Stock Exchange (NYSE)	Industrial company
HOMETRUST BANCSHARES, INC	US455055422	10.11	1	90640.0	2783114.0	475.0	339297.0	NASDAQ National Market	Bank
SOUND FINANCIAL BANCORP, INC.	US455188530	0	114	3457.0	54520.0	nan	58634.0	NASDAQ National Market	Bank
SUMMIT MIDSTREAM PARTNERS, LP	US455200503	0	132	371319.0	3164672.0	nan	1385014.0	New York Stock Exchange (NYSE)	Industrial company
BIOSTAGE, INC.	US455210462	4.18	2	118.0	8956.0	19.0	19896.0	NASDAQ National Market	Industrial company
MALVERN BANCORP, INC	US455307782	1.85	15	4805.0	82693.0	nan	108055.0	NASDAQ National Market	Bank
HERITAGE INSURANCE HOLDINGS INC	US455338504	13.719999999999999	1	350000.0	nan	175.0	400903.0	New York Stock Exchange (NYSE)	Insurance company
FOGO DE CHAO, INC.	US455353489	0	105	271634.0	487495.0	2848.0	381206.0	NASDAQ National Market	Industrial company
DELEK LOGISTICS PARTNERS, LP	US455379027	0.61	15	589669.0	375288.0	nan	635566.0	New York Stock Exchange (NYSE)	Industrial company
TILE SHOP HOLDINGS, INC.	US455538095	7.74	7	292987.0	245007.0	1410.0	935734.0	NASDAQ National Market	Industrial company
VIVINT SOLAR, INC.	US455605880	2.6900000000000004	4	64182.0	1609070.0	3685.0	400855.0	New York Stock Exchange (NYSE)	Industrial company
SANDRIDGE PERMIAN TRUST	US456276683	0	110	87780.0	158462.0	nan	124950.0	New York Stock Exchange (NYSE)	Industrial company
NORTHWESTERN CORP	US460172280	26.0	1	1214299.0	5264695.0	1608.0	2781027.0	New York Stock Exchange (NYSE)	Industrial company
RAVEN INDUSTRIES INC	US460246171	15.27	1	258229.0	306610.0	910.0	725599.0	NASDAQ National Market	Industrial company
DAKTRONICS INC	US460306862	14.23	1	615942.0	379479.0	2750.0	350946.0	NASDAQ National Market	Industrial company
ARROWHEAD PHARMACEUTICALS, INC.	US460408024	12.25	1	382.0	132268.0	104.0	353169.0	NASDAQ National Market	Industrial company
HF FINANCIAL CORP	US460418532	0	126	45275.0	1185377.0	271.0	138915.0	NASDAQ National Market	Bank
BLACK HILLS CORPORATION	US460458824	30.459999999999997	1	1304605.0	4655501.0	2003.0	3085443.0	New York Stock Exchange (NYSE)	Industrial company
WYNN RESORTS, LIMITED	US460484987	14.57	1	4075883.0	10459159.0	20800.0	9767856.0	NASDAQ National Market	Industrial company
PARTY CITY HOLDCO INC.	US460539758	3.7	6	2294533.0	3292403.0	18231.0	1632282.0	New York Stock Exchange (NYSE)	Industrial company
BLUE BUFFALO PET PRODUCTS, INC.	US460552933	2.19	5	1027447.0	512546.0	1700.0	5141444.0	NASDAQ National Market	Industrial company
ACLARIS THERAPEUTICS, INC.	US460571712	1.95	14	0.0	94076.0	18.0	406338.0	NASDAQ National Market	Industrial company
BARNES & NOBLE EDUCATION, INC.	US460599018	14.309999999999999	4	1772998.0	1129924.0	5300.0	441784.0	New York Stock Exchange (NYSE)	Industrial company
WHITEWAVE FOODS COMPANY (THE)	US460631061	17.63	1	3866295.0	4228869.0	5300.0	7927706.0	New York Stock Exchange (NYSE)	Industrial company
ALTISOURCE RESIDENTIAL CORPORATION	US460633510	15.83	1	248098.0	2450773.0	nan	559541.0	New York Stock Exchange (NYSE)	Financial company
NXT-ID, INC.	US460678374	0.57	4	617.0	5135.0	nan	22664.0	NASDAQ National Market	Industrial company
CYRUSONE INC.	US460691837	22.46	1	399300.0	2195600.0	400.0	3964451.0	NASDAQ National Market	Financial company
ZOETIS INC.	US460696167	16.169999999999998	1	4765000.0	7913000.0	9000.0	23410828.0	New York Stock Exchange (NYSE)	Industrial company
ALON USA PARTNERS, LP	US460810241	0	112	2157191.0	748584.0	2860.0	573842.0	New York Stock Exchange (NYSE)	Industrial company
ATARA BIOTHERAPEUTICS, INC.	US460920988	8.34	3	0.0	324975.0	55.0	503891.0	NASDAQ National Market	Industrial company
WESTERN GAS EQUITY PARTNERS, LP	US460967367	0	121	1561372.0	7303344.0	nan	9492344.0	New York Stock Exchange (NYSE)	Industrial company
ASTERIAS BIOTHERAPEUTICS, INC.	US461047971	1.6999999999999997	5	3582.0	66978.0	41.0	152376.0	NYSE MKT	Industrial company
VIKING THERAPEUTICS, INC.	US461073877	0	105	0.0	15439.0	nan	27035.0	NASDAQ National Market	Industrial company
KINDRED BIOSCIENCES, INC.	US461160142	2.6100000000000003	10	0.0	79619.0	57.0	79553.0	NASDAQ National Market	Industrial company
SPRINT CORPORATION	US461170005	2.15	5	32180000.0	78975000.0	nan	14626500.0	New York Stock Exchange (NYSE)	Industrial company
ARMADA HOFFLER PROPERTIES, INC.	US461214914	11.21	1	252440.0	689547.0	139.0	382609.0	New York Stock Exchange (NYSE)	Financial company
AMERICAN HOMES 4 RENT	US461229660	16.26	3	630576.0	6751219.0	781.0	4415477.0	New York Stock Exchange (NYSE)	Financial company
ZAIS GROUP HOLDINGS, INC.	US461314400	0.52	4	23231.0	93211.0	77.0	25300.0	NASDAQ National Market	Financial company
CHERRY HILL MORTGAGE INVESTMENT CORPORATION	US461315605	2.06	9	25171.0	636340.0	3.0	115793.0	New York Stock Exchange (NYSE)	Financial company
ENERGOUS CORPORATION	US461318953	2.65	5	2500.0	32676.0	52.0	172172.0	NASDAQ National Market	Industrial company
HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL, INC.	US461347456	10.77	1	58679.0	1469621.0	32.0	792638.0	New York Stock Exchange (NYSE)	Financial company
CST BRANDS, INC.	US461365950	16.14	1	11444000.0	3840000.0	15569.0	2894404.0	New York Stock Exchange (NYSE)	Industrial company
CIDARA THERAPEUTICS, INC.	US461537286	2.55	12	0.0	109974.0	48.0	155866.0	NASDAQ National Market	Industrial company
TRUETT-HURST, INC.	US461561499	0	109	26626.0	33903.0	40.0	6933.0	NASDAQ National Market	Industrial company
EXONE COMPANY (THE)	US461684608	6.19	4	40353.0	107958.0	275.0	167103.0	NASDAQ National Market	Industrial company
DIAMOND RESORTS INTERNATIONAL, INC.	US461750895	9.869999999999997	6	954040.0	1968833.0	8174.0	1627256.0	New York Stock Exchange (NYSE)	Industrial company
NRG YIELD, INC.	US461777204	7.550000000000001	2	869000.0	7775000.0	nan	501155.0	New York Stock Exchange (NYSE)	Industrial company
WESTBURY BANCORP, INC.	US461834307	2.29	10	4357.0	82377.0	nan	82424.0	NASDAQ National Market	Bank
UNIQUE FABRICATING, INC.	US461846791	0	116	143310.0	99921.0	734.0	132877.0	NYSE MKT	Industrial company
SCIENCE APPLICATIONS INTERNATIONAL CORP	US461932921	19.21	1	4315000.0	2122000.0	15000.0	2469445.0	New York Stock Exchange (NYSE)	Industrial company
TALLGRASS ENERGY PARTNERS, LP	US461972941	0	135	536197.0	2562074.0	nan	3183813.0	New York Stock Exchange (NYSE)	Industrial company
REXFORD INDUSTRIAL REALTY, INC.	US462024407	21.15	1	93900.0	1153251.0	70.0	1313101.0	New York Stock Exchange (NYSE)	Financial company
KRAFT HEINZ COMPANY (THE)	US462078182	7.369999999999999	3	18338000.0	122973000.0	42000.0	102261833.0	NASDAQ National Market	Industrial company
GAMING AND LEISURE PROPERTIES, INC.	US462116489	17.450000000000003	1	575053.0	2448155.0	792.0	6678476.0	NASDAQ National Market	Financial company
MURPHY USA INC.	US462279221	18.88	1	12699411.0	1886241.0	9800.0	2695118.0	New York Stock Exchange (NYSE)	Industrial company
BENEFITFOCUS, INC.	US462346314	4.8999999999999995	12	185143.0	182119.0	1450.0	1085294.0	NASDAQ National Market	Industrial company
STRAIGHT PATH COMMUNICATIONS INC.	US462457757	8.98	3	13240.0	20238.0	7.0	407147.0	NYSE MKT	Industrial company
ASHFORD HOSPITALITY PRIME, INC.	US462488594	23.16	1	349545.0	1352750.0	nan	298784.0	New York Stock Exchange (NYSE)	Financial company
PHYSICIANS REALTY TRUST	US462519850	17.369999999999997	1	129441.0	1638886.0	nan	2558867.0	New York Stock Exchange (NYSE)	Financial company
WORLD POINT TERMINALS, LP	US462598540	0	115	96126.0	206423.0	157.0	281329.0	New York Stock Exchange (NYSE)	Industrial company
CINER RESOURCES LP	US462613366	0	119	486400.0	423200.0	476.0	278556.0	New York Stock Exchange (NYSE)	Industrial company
AZURE MIDSTREAM PARTNERS, LP	US462627595	0	115	80592.0	563964.0	111.0	8232.0	New York Stock Exchange (NYSE)	Industrial company
SPARK THERAPEUTICS, INC.	US462654405	8.76	3	22064.0	329773.0	113.0	1541979.0	NASDAQ National Market	Industrial company
CAESARS ACQUISITION COMPANY	US462672999	5.920000000000001	3	0.0	1137400.0	1300.0	1351695.0	NASDAQ National Market	Industrial company
MIRATI THERAPEUTICS, INC.	US462693615	8.32	6	0.0	128017.0	47.0	355734.0	NASDAQ National Market	Industrial company
CONTRAVIR PHARMACEUTICALS, INC.	US462783806	0.26	7	0.0	5377.0	14.0	29330.0	NASDAQ National Market	Industrial company
QTS REALTY TRUST, INC.	US462809094	17.45	1	311083.0	1747339.0	720.0	2485987.0	New York Stock Exchange (NYSE)	Financial company
WINDSTREAM HOLDINGS, INC.	US462847717	21.53	1	5765300.0	12518100.0	12326.0	809967.0	NASDAQ National Market	Industrial company
JASON INDUSTRIES, INC.	US462888322	0.83	28	708366.0	697092.0	4600.0	87976.0	NASDAQ National Market	Financial company
GRUBHUB INC.	US462908664	11.459999999999999	1	361825.0	1060248.0	1105.0	2115393.0	New York Stock Exchange (NYSE)	Industrial company
PRUDENTIAL BANCORP, INC	US462935427	0.18	20	2495.0	115943.0	nan	121718.0	NASDAQ National Market	Bank
NEWS CORPORATION	US462950970	15.399999999999999	3	8633000.0	15035000.0	25000.0	4530015.0	NASDAQ National Market	Industrial company
JAGUAR ANIMAL HEALTH, INC.	US462956775	0	108	258.0	12405.0	nan	13887.0	NASDAQ National Market	Industrial company
LOXO ONCOLOGY, INC.	US462996673	4.05	9	0.0	157458.0	17.0	569644.0	NASDAQ National Market	Industrial company
VOYAGER THERAPEUTICS, INC.	US463003182	0.9500000000000001	12	17334.0	229457.0	nan	365401.0	NASDAQ National Market	Industrial company
J.G. WENTWORTH COMPANY (THE)	US463037859	3.1100000000000003	4	295774.0	5074964.0	700.0	9034.0	New York Stock Exchange (NYSE)	Financial company
ENDURANCE INTERNATIONAL GROUP HOLDINGS, INC.	US463044956	6.090000000000001	7	741315.0	1802500.0	2593.0	1315946.0	NASDAQ National Market	Industrial company
LGI HOMES, INC.	US463088013	10.95	3	630236.0	618702.0	489.0	552828.0	NASDAQ National Market	Industrial company
EXTENDED STAY AMERICA INC	US463140312	2.4899999999999998	5	3000000.0	nan	3500.0	2877400.0	New York Stock Exchange (NYSE)	Industrial company
WESTERN REFINING LOGISTICS, LP	US463205923	0.18	25	2599867.0	500951.0	562.0	650721.0	New York Stock Exchange (NYSE)	Industrial company
VERITIV CORPORATION	US463234977	8.23	3	8717700.0	2476900.0	8800.0	623229.0	New York Stock Exchange (NYSE)	Industrial company
VALERO ENERGY PARTNERS LP	US463263598	0.29	24	243624.0	850107.0	nan	1284609.0	New York Stock Exchange (NYSE)	Industrial company
MEDOVEX CORP.	US463312262	0	110	33.0	11532.0	nan	16220.0	NASDAQ National Market	Industrial company
LIBERTY TRIPADVISOR HOLDINGS, INC.	US463337365	15.48	2	1565000.0	7285000.0	nan	1656358.0	NASDAQ National Market	Industrial company
DEL TACO RESTAURANTS, INC	US463340980	3.23	7	424002.0	703572.0	6690.0	362952.0	NASDAQ National Market	Financial company
EP ENERGY CORPORATION	US463472728	2.1	8	1908000.0	5833000.0	665.0	1307341.0	New York Stock Exchange (NYSE)	Industrial company
ONE GAS, INC.	US463561936	19.319999999999997	1	1547692.0	4634765.0	3400.0	3085346.0	New York Stock Exchange (NYSE)	Industrial company
EGALET CORPORATION	US463575334	3.16	14	22830.0	172416.0	78.0	141984.0	NASDAQ National Market	Industrial company
PRA HEALTH SCIENCES, INC.	US463640387	0	103	1613883.0	2228743.0	12000.0	2866679.0	NASDAQ National Market	Industrial company
JUNO THERAPEUTICS, INC.	US463656275	7.89	6	18215.0	1445128.0	306.0	4436717.0	NASDAQ National Market	Industrial company
ELDORADO RESORTS, INC.	US463657681	6.720000000000001	4	719784.0	1325008.0	7800.0	677889.0	NASDAQ National Market	Industrial company
INTRAWEST RESORTS HOLDINGS, INC.	US463681098	5.75	3	587589.0	1094995.0	5400.0	420377.0	New York Stock Exchange (NYSE)	Industrial company
NEWTEK BUSINESS SERVICES CORP.	US463755188	0	102	26070.0	355485.0	123.0	187823.0	NASDAQ National Market	Financial company
FARMLAND PARTNERS INC.	US463769850	0.48	18	13756.0	344954.0	13.0	133991.0	New York Stock Exchange (NYSE)	Industrial company
RICE ENERGY INC.	US463785773	6.64	3	502141.0	3949098.0	nan	3085681.0	New York Stock Exchange (NYSE)	Industrial company
GYRODYNE, LLC	US463838291	0	111	0.0	58335.0	nan	46452.0	NASDAQ National Market	Financial company
BLUE BIRD CORPORATION	US463891989	1.87	11	919128.0	267903.0	nan	232003.0	NASDAQ National Market	Industrial company
DIMENSION THERAPEUTICS, INC.	US463942159	1.06	15	7750.0	133269.0	59.0	200434.0	NASDAQ National Market	Industrial company
AGROFRESH SOLUTIONS, INC.	US464007249	2.4	8	163763.0	1082674.0	156.0	247009.0	NASDAQ National Market	Financial company
MALIBU BOATS, INC.	US464024640	9.58	2	228621.0	189128.0	509.0	248184.0	NASDAQ National Market	Industrial company
TIMKENSTEEL CORPORATION	US464024951	18.11	1	1106200.0	1141800.0	2600.0	401076.0	New York Stock Exchange (NYSE)	Industrial company
NAVIENT CORP	US464054283	21.47	1	3000000.0	nan	7500.0	4455326.0	NASDAQ National Market	Bank
PAYLOCITY HOLDING CORPORATION	US464066644	5.08	3	152698.0	720548.0	1320.0	1884852.0	NASDAQ National Market	Industrial company
EDITAS MEDICINE, INC.	US464097528	0	102	1629.0	149363.0	67.0	1289339.0	NASDAQ National Market	Industrial company
ENVIVA PARTNERS, LP	US464097730	0.82	18	457374.0	574547.0	nan	293677.0	New York Stock Exchange (NYSE)	Industrial company
ENLINK MIDSTREAM, LLC	US464108528	0.67	10	4452100.0	9541300.0	1432.0	2797722.0	New York Stock Exchange (NYSE)	Industrial company
ANTERO MIDSTREAM PARTNERS LP	US464109058	0.13	28	387324.0	1980032.0	480.0	2505768.0	New York Stock Exchange (NYSE)	Industrial company
COASTWAY BANCORP, INC	US464149994	0	100	1631.0	70948.0	nan	60001.0	NASDAQ National Market	Bank
NOW INC.	US464191184	15.939999999999998	1	3010000.0	1832000.0	5000.0	1833763.0	New York Stock Exchange (NYSE)	Industrial company
EARTHLINK HOLDINGS CORP.	US464228084	19.939999999999998	1	1097252.0	734652.0	2138.0	691568.0	NASDAQ National Market	Industrial company
C1 FINANCIAL INC	US464241720	2.9	8	112500.0	nan	175.0	386584.0	New York Stock Exchange (NYSE)	Bank
KEYSIGHT TECHNOLOGIES, INC.	US464254555	17.41	1	2856000.0	3508000.0	10250.0	5262668.0	New York Stock Exchange (NYSE)	Industrial company
AEGLEA BIOTHERAPEUTICS, INC.	US464312787	0	106	6085.0	38654.0	23.0	97101.0	NASDAQ National Market	Industrial company
PARSLEY ENERGY, INC.	US464314192	9.24	4	266057.0	2505100.0	212.0	4088489.0	New York Stock Exchange (NYSE)	Industrial company
WP GLIMCHER INC.	US464323686	26.220000000000002	1	921656.0	5459609.0	710.0	1866080.0	New York Stock Exchange (NYSE)	Financial company
SUPERIOR DRILLING PRODUCTS, INC.	US464341605	0	114	12706.0	38755.0	nan	28808.0	NYSE MKT	Industrial company
CORBUS PHARMACEUTICALS HOLDINGS, INC.	US464348039	1.8399999999999999	7	648.0	12875.0	12.0	112818.0	NASDAQ National Market	Industrial company
FENIX PARTS, INC.	US464421625	5.29	5	68946.0	177668.0	665.0	76121.0	NASDAQ National Market	Industrial company
MOELIS & COMPANY	US464500216	2.9	4	551863.0	539461.0	660.0	551264.0	New York Stock Exchange (NYSE)	Financial company
RAYONIER ADVANCED MATERIALS INC.	US464559529	18.66	1	941384.0	1278612.0	1200.0	556164.0	New York Stock Exchange (NYSE)	Industrial company
CORVUS PHARMACEUTICALS, INC.	US464670809	0.0	103	0.0	98459.0	33.0	294063.0	NASDAQ National Market	Industrial company
MEMORIAL RESOURCE DEVELOPMENT CORP.	US464710769	6.42	4	732189.0	5082849.0	484.0	3157318.0	NASDAQ National Market	Industrial company
TERRAFORM POWER, INC.	US464780940	7.79	2	125864.0	3679071.0	nan	781359.0	NASDAQ National Market	Industrial company
ECLIPSE RESOURCES CORPORATION	US464812998	2.8899999999999997	5	255321.0	1266412.0	210.0	586338.0	New York Stock Exchange (NYSE)	Industrial company
CHEMOURS COMPANY (THE)	US464845564	16.84	1	5717000.0	6298000.0	8100.0	1660454.0	New York Stock Exchange (NYSE)	Industrial company
HALYARD HEALTH, INC.	US464987888	20.62	1	1574400.0	2000200.0	12000.0	1431373.0	New York Stock Exchange (NYSE)	Industrial company
ADEPTUS HEALTH INC.	US465037387	6.96	5	373614.0	521603.0	3202.0	1053830.0	New York Stock Exchange (NYSE)	Industrial company
FLEX PHARMA, INC.	US465087339	2.82	9	0.0	95070.0	34.0	223341.0	NASDAQ National Market	Industrial company
DOMINION MIDSTREAM PARTNERS, LP	US465135781	1.02	15	369600.0	4125200.0	nan	1315433.0	New York Stock Exchange (NYSE)	Industrial company
FEDERAL-MOGUL HOLDINGS CORPORATION	US465182047	2.5500000000000003	4	7419000.0	7238000.0	53700.0	1484177.0	NASDAQ National Market	Industrial company
SHELL MIDSTREAM PARTNERS, L.P.	US465223743	0.6	25	326500.0	715500.0	nan	3274230.0	New York Stock Exchange (NYSE)	Industrial company
COMMUNICATIONS SALES & LEASING, INC.	US465230630	14.33	2	476314.0	2542636.0	37.0	3776934.0	NASDAQ National Market	Industrial company
QORVO, INC.	US465288992	19.69	1	2610726.0	6577918.0	nan	6927899.0	NASDAQ National Market	Industrial company
ASHFORD INC.	US465292553	3.9099999999999997	5	58981.0	166991.0	108.0	94554.0	NYSE MKT	Financial company
SPARK ENERGY, INC.	US465453215	1.96	6	358153.0	162234.0	189.0	176711.0	NASDAQ National Market	Industrial company
CALIFORNIA RESOURCES CORPORATION	US465670947	22.47	1	2403000.0	7053000.0	1700.0	599317.0	New York Stock Exchange (NYSE)	Industrial company
CDK GLOBAL, INC.	US465743146	18.939999999999998	1	2063500.0	2518500.0	8900.0	8568353.0	NASDAQ National Market	Industrial company
GODADDY INC.	US465769934	2.69	11	1607300.0	3498800.0	4761.0	2643440.0	New York Stock Exchange (NYSE)	Industrial company
LEVEL 3 COMMUNICATIONS, INC.	US470210602	14.79	3	8229000.0	24017000.0	12500.0	19213835.0	New York Stock Exchange (NYSE)	Industrial company
CONAGRA FOODS, INC.	US470248710	19.56	1	15832400.0	17542200.0	32900.0	19765232.0	New York Stock Exchange (NYSE)	Industrial company
VALMONT INDUSTRIES INC	US470351813	16.52	1	2618924.0	2392382.0	10697.0	3088515.0	New York Stock Exchange (NYSE)	Industrial company
BUCKLE INC	US470366193	11.8	3	1119616.0	572773.0	8600.0	1184717.0	New York Stock Exchange (NYSE)	Industrial company
LINDSAY CORPORATION	US470554096	20.590000000000003	1	560181.0	536468.0	1324.0	744518.0	New York Stock Exchange (NYSE)	Industrial company
BALLANTYNE STRONG INC.	US470587703	3.5100000000000002	8	92829.0	66864.0	316.0	69687.0	NYSE MKT	Industrial company
NATIONAL RESEARCH CORP	US470634000	1.8499999999999999	9	102343.0	128049.0	375.0	132619.0	NASDAQ National Market	Industrial company
WERNER ENTERPRISES INC	US470648386	11.549999999999999	2	2093529.0	1613684.0	9192.0	1768672.0	NASDAQ National Market	Industrial company
EOG RESOURCES INC	US470684736	17.93	1	8766226.0	26975244.0	2760.0	44886056.0	New York Stock Exchange (NYSE)	Industrial company
AMCON DISTRIBUTING CO	US470702918	0.72	11	1281856.0	120184.0	808.0	50859.0	NYSE MKT	Industrial company
ATLANTIC TELE-NETWORK, INC.	US470728886	15.870000000000001	2	355369.0	945004.0	1200.0	1192198.0	NASDAQ National Market	Industrial company
FIRST DATA CORPORATION	US470731996	3.17	4	11451000.0	34362000.0	24000.0	4023757.0	New York Stock Exchange (NYSE)	Industrial company
ACI WORLDWIDE, INC.	US470772104	19.08	1	1045977.0	1975788.0	4576.0	2382521.0	NASDAQ National Market	Industrial company
WEST CORP	US470777362	8.82	5	2280259.0	3612279.0	10630.0	1754283.0	NASDAQ National Market	Industrial company
CSG SYSTEMS INTERNATIONAL INC	US470783182	22.54	1	752520.0	862731.0	3277.0	1383041.0	NASDAQ National Market	Industrial company
AMERICA FIRST MULTIFAMILY INVESTORS, L.P.	US470810385	0	113	64552.0	872515.0	nan	322956.0	NASDAQ National Market	Financial company
BERKSHIRE HATHAWAY INC	US470813844	11.38	2	43601000.0	552257000.0	nan	179990089.0	New York Stock Exchange (NYSE)	Insurance company
NICOLET BANKSHARES, INC.	US470871001	0	109	59092.0	1213813.0	276.0	157275.0	NASDAQ National Market	Bank
BNC BANCORP	US470898685	6.84	1	204250.0	5668183.0	850.0	974411.0	NASDAQ National Market	Bank
COMBIMATRIX CORPORATION	US470899439	0.44	9	10088.0	7922.0	65.0	4541.0	NASDAQ National Market	Industrial company
LINKEDIN CORPORATION	US470912023	9.26	3	2990911.0	7011199.0	9372.0	15498489.0	New York Stock Exchange (NYSE)	Industrial company
NEW YORK MORTGAGE TRUST INC	US470934168	11.73	1	382559.0	9056242.0	7.0	635668.0	NASDAQ National Market	Financial company
WELLCARE HEALTH PLANS INC	US470937650	19.7	1	nan	5193600.0	nan	4467725.0	New York Stock Exchange (NYSE)	Insurance company
TABLEAU SOFTWARE, INC.	US470945740	9.47	4	653587.0	1030711.0	3008.0	2764631.0	New York Stock Exchange (NYSE)	Industrial company
MERCER INTERNATIONAL INC.	US470956945	2.71	8	1033204.0	1182817.0	1469.0	589664.0	NASDAQ National Market	Industrial company
MELROSE BANCORP, INC.	US470967316	0	116	590.0	45545.0	nan	41819.0	NASDAQ National Market	Bank
CONE MIDSTREAM PARTNERS LP	US471054194	0.12	35	203423.0	924425.0	nan	452293.0	New York Stock Exchange (NYSE)	Industrial company
MEDLEY MANAGEMENT INC.	US471130638	10.610000000000001	4	67426.0	119753.0	80.0	35360.0	New York Stock Exchange (NYSE)	Financial company
AQUA METALS, INC.	US471169572	0.16	10	0.0	47276.0	nan	163994.0	NASDAQ National Market	Industrial company
TALEN ENERGY CORPORATION	US471197305	13.219999999999999	2	4481000.0	12809000.0	4981.0	1436929.0	New York Stock Exchange (NYSE)	Industrial company
SENSEONICS HOLDINGS, INC.	US471210911	0	109	38.0	5492.0	nan	354342.0	NYSE MKT	Industrial company
LIBERTY BROADBAND CORPORATION	US471211994	14.04	2	91182.0	3565741.0	23900.0	1508930.0	NASDAQ National Market	Industrial company
AMPLIFY SNACK BRANDS, INC.	US471254894	2.0300000000000002	10	183915.0	357932.0	nan	964149.0	New York Stock Exchange (NYSE)	Industrial company
METALDYNE PERFORMANCE GROUP INC.	US471420222	2.0700000000000003	5	3047255.0	3157600.0	12000.0	1108526.0	New York Stock Exchange (NYSE)	Industrial company
SYMMETRY SURGICAL INC.	US471523659	9.83	5	84527.0	153981.0	196.0	140482.0	NASDAQ National Market	Industrial company
RICE MIDSTREAM PARTNERS LP	US471557755	0	142	114459.0	689790.0	nan	755574.0	New York Stock Exchange (NYSE)	Industrial company
